Meta-feature,Importance,Ranking,Type,Origin,Description
cohesiveness.mean,0.008,52.000,Concept & complexity,PyMFE,Improved version of the weighted distance. It captures how dense or sparse is the example distribution.
f4.mean,0.008,53.000,Concept & complexity,PyMFE,Collective feature efficiency.
F4_partial.0,0.008,54.000,Concept & complexity,ImbCoL,Collective feature efficiency (Class 0).
mut_inf.mean,0.008,55.000,"Simple, stats & info-theory",PyMFE,Mutual information between each attribute and target.
f1.mean,0.008,56.000,Concept & complexity,PyMFE,Maximum Fisher’s discriminant ratio.
tree_shape.mean,0.008,57.000,Model-based,PyMFE,Tree shape for every leaf node.
F3_partial.0,0.008,58.000,Concept & complexity,ImbCoL,Maximum individual feature efficiency (Class 0).
h_mean.mean,0.008,59.000,"Simple, stats & info-theory",PyMFE,Harmonic mean of each attribute.
f1v.mean,0.007,60.000,Concept & complexity,PyMFE,Directional-vector maximum Fisher’s discriminant ratio.
random_node.mean,0.007,61.000,Landmarking,PyMFE,Performance of the single decision tree node model induced by a random attribute.
min.mean,0.007,62.000,"Simple, stats & info-theory",PyMFE,Minimum value from each attribute.
l1.mean,0.007,63.000,Concept & complexity,PyMFE,Sum of error distance by linear programming.
ns_ratio,0.007,64.000,"Simple, stats & info-theory",PyMFE,Noisiness of attributes.
t3,0.007,65.000,Concept & complexity,PyMFE,Average number of PCA dimensions per points.
worst_node.mean.relative,0.007,66.000,Landmarking,PyMFE,Performance of the single decision tree node model induced by the worst informative attribute.
range.mean,0.007,67.000,"Simple, stats & info-theory",PyMFE,Range (max - min) of each attribute.
joint_ent.mean,0.007,68.000,"Simple, stats & info-theory",PyMFE,Joint entropy between each attribute and class.
leaves_homo.mean,0.007,69.000,Model-based,PyMFE,DT model Homogeneity for every leaf node.
best_node.mean,0.007,70.000,Landmarking,PyMFE,Performance of a the best single decision tree node.
naive_bayes.mean.relative,0.007,71.000,Landmarking,PyMFE,Performance of the Naive Bayes classifier.
N1_partial.1,0.007,72.000,Concept & complexity,ImbCoL,Fraction of points lying on the class boundary (Class 1).
impconceptvar.mean,0.007,73.000,Concept & complexity,PyMFE,Improved concept variation that estimates the variability of class labels among examples.
l3.mean,0.006,74.000,Concept & complexity,PyMFE,Non-Linearity of a linear classifier.
f3.mean,0.006,75.000,Concept & complexity,PyMFE,Compute feature maximum individual efficiency.
cls_coef,0.006,76.000,Concept & complexity,PyMFE,Clustering coefficient.
gravity,0.006,77.000,"Simple, stats & info-theory",PyMFE,Distance between minority and majority classes center of mass.
naive_bayes.mean,0.006,78.000,Landmarking,PyMFE,Performance of the Naive Bayes classifier.
density,0.006,79.000,Concept & complexity,PyMFE,Average density of the network.
random_node.mean.relative,0.006,80.000,Landmarking,PyMFE,Performance of the single decision tree node model induced by a random attribute.
lsc,0.006,81.000,Concept & complexity,PyMFE,Local set average cardinality.
nr_norm,0.006,82.000,"Simple, stats & info-theory",PyMFE,Number of attributes normally distributed based in a given method.
one_nn.mean.relative,0.006,83.000,Landmarking,PyMFE,Performance of the 1-Nearest Neighbor classifier.
T1_partial.1,0.006,84.000,Concept & complexity,ImbCoL,Fraction of maximum covering spheres on data (Class 1).
worst_node.mean,0.006,85.000,Landmarking,PyMFE,Performance of the single decision tree node model induced by the worst informative attribute.
L1_partial.1,0.006,86.000,Concept & complexity,ImbCoL,Distance of erroneous instances to a linear classifier (Class 1).
linear_discr.mean,0.005,87.000,Landmarking,PyMFE,Performance of the Linear Discriminant classifier.
n1,0.005,88.000,Concept & complexity,PyMFE,Fraction of borderline points.
nr_outliers,0.005,89.000,"Simple, stats & info-theory",PyMFE,Number of attributes with at least one outlier value.
L2_partial.0,0.005,90.000,Concept & complexity,ImbCoL,Training error of a linear classifier (Class 0).
mean.mean,0.005,91.000,"Simple, stats & info-theory",PyMFE,Mean value of each attribute.
tree_depth.mean,0.005,92.000,Model-based,PyMFE,Depth of every node in the DT model.
L3_partial.1,0.005,93.000,Concept & complexity,ImbCoL,Nonlinearity of a linear classifier (Class 1).
T1_partial.0,0.005,94.000,Concept & complexity,ImbCoL,Fraction of maximum covering spheres on data (Class 0).
nodes_per_attr,0.005,95.000,Model-based,PyMFE,Ratio of nodes per number of attributes in DT model.
L3_partial.0,0.005,96.000,Concept & complexity,ImbCoL,Nonlinearity of a linear classifier (Class 0).
elite_nn.mean.relative,0.005,97.000,Landmarking,PyMFE,Performance of Elite Nearest Neighbor.
leaves_branch.mean,0.005,98.000,Model-based,PyMFE,Size of branches in the DT model.
g_mean.mean,0.005,99.000,"Simple, stats & info-theory",PyMFE,Geometric mean of each attribute.
leaves_corrob.mean,0.005,100.000,Model-based,PyMFE,Leaves corroboration of the DT model.
w_lambda,0.004,101.000,"Simple, stats & info-theory",PyMFE,Wilks’ Lambda value.
t_mean.mean,0.004,102.000,"Simple, stats & info-theory",PyMFE,Trimmed mean of each attribute.
nr_cor_attr,0.004,103.000,"Simple, stats & info-theory",PyMFE,Number of distinct highly correlated pair of attributes.
l2.mean,0.004,104.000,Concept & complexity,PyMFE,OVO subsets error rate of linear classifier.
L2_partial.1,0.004,105.000,Concept & complexity,ImbCoL,Training error of a linear classifier (Class 1).
c2,0.004,106.000,Concept & complexity,PyMFE,Imbalance ratio.
inst_to_attr,0.004,107.000,"Simple, stats & info-theory",PyMFE,Ratio between the number of instances and attributes.
conceptvar.mean,0.004,108.000,Concept & complexity,PyMFE,Concept variation that estimates the variability of class labels among examples.
attr_to_inst,0.004,109.000,"Simple, stats & info-theory",PyMFE,Ratio between the number of attributes and instances.
t2,0.003,110.000,Concept & complexity,PyMFE,Average number of features per dimension.
nodes,0.003,111.000,Model-based,PyMFE,Number of non-leaf nodes in DT model.
leaves,0.003,112.000,Model-based,PyMFE,Number of leaf nodes in the DT model.
can_cor.mean,0.003,113.000,"Simple, stats & info-theory",PyMFE,Compute canonical correlations of data.
p_trace,0.003,114.000,"Simple, stats & info-theory",PyMFE,Pillai’s trace.
lh_trace,0.003,115.000,"Simple, stats & info-theory",PyMFE,Lawley-Hotelling trace.
roy_root,0.003,116.000,"Simple, stats & info-theory",PyMFE,Roy’s largest root.
nre,0.003,117.000,Clustering,PyMFE,Normalized relative entropy.
c1,0.002,118.000,Concept & complexity,PyMFE,Entropy of class proportions.
class_ent,0.002,119.000,"Simple, stats & info-theory",PyMFE,Compute target attribute Shannon’s entropy.
two_itemset.mean,0.001,120.000,"Simple, stats & info-theory",PyMFE,Two itemset meta-feature.
one_itemset.mean,0.001,121.000,"Simple, stats & info-theory",PyMFE,One itemset meta-feature.
t4,0.001,122.000,Concept & complexity,PyMFE,Ratio of the PCA dimension to the original dimension.
sc,0.000,123.000,Clustering,PyMFE,Number of clusters with size smaller than a given size.
var_importance.mean,0.000,124.000,Model-based,PyMFE,Features importance of the DT model for each attribute.
nr_num,0.000,125.000,"Simple, stats & info-theory",PyMFE,Number of numeric features.
nr_attr,0.000,126.000,"Simple, stats & info-theory",PyMFE,Total number of attributes.
nr_bin,0.000,130.000,"Simple, stats & info-theory",PyMFE,Number of binary attributes.
freq_class.mean,0.000,130.000,"Simple, stats & info-theory",PyMFE,Relative frequency of each distinct class.
nr_cat,0.000,130.000,"Simple, stats & info-theory",PyMFE,Number of categorical attributes.
cat_to_num,0.000,130.000,"Simple, stats & info-theory",PyMFE,Ratio between the number of categoric and numeric features.
leaves_per_class.mean,0.000,130.000,Model-based,PyMFE,Proportion of leaves per class in DT model.
nr_disc,0.000,130.000,"Simple, stats & info-theory",PyMFE,Number of canonical correlation between each attribute and class.
nr_class,0.000,130.000,"Simple, stats & info-theory",PyMFE,Number of distinct classes.
