Meta-feature,Importance,Ranking,Type,Origin,Description
elite_nn.mean,0.006,71.000,Landmarking,PyMFE,Performance of Elite Nearest Neighbor.
random_node.mean,0.005,72.000,Landmarking,PyMFE,Performance of the single decision tree node model induced by a random attribute.
can_cor.mean,0.005,73.000,"Simple, stats & info-theory",PyMFE,Compute canonical correlations of data.
hubs.mean,0.005,74.000,Concept & complexity,PyMFE,Hub score.
min.mean,0.005,75.000,"Simple, stats & info-theory",PyMFE,Minimum value from each attribute.
range.mean,0.005,76.000,"Simple, stats & info-theory",PyMFE,Range (max - min) of each attribute.
one_nn.mean,0.005,77.000,Landmarking,PyMFE,Performance of the 1-Nearest Neighbor classifier.
vdu,0.005,78.000,Clustering,PyMFE,Dunn Index.
best_node.mean,0.005,79.000,Landmarking,PyMFE,Performance of a the best single decision tree node.
nr_inst,0.005,80.000,"Simple, stats & info-theory",PyMFE,Number of instances (rows) in the dataset.
tree_shape.mean,0.005,81.000,Model-based,PyMFE,Tree shape for every leaf node.
lh_trace,0.005,82.000,"Simple, stats & info-theory",PyMFE,Lawley-Hotelling trace.
L1_partial.0,0.005,83.000,Concept & complexity,ImbCoL,Distance of erroneous instances to a linear classifier (Class 0).
p_trace,0.005,84.000,"Simple, stats & info-theory",PyMFE,Pillai’s trace.
nr_cor_attr,0.005,85.000,"Simple, stats & info-theory",PyMFE,Number of distinct highly correlated pair of attributes.
lsc,0.005,86.000,Concept & complexity,PyMFE,Local set average cardinality.
leaves_branch.mean,0.005,87.000,Model-based,PyMFE,Size of branches in the DT model.
mean.mean,0.005,88.000,"Simple, stats & info-theory",PyMFE,Mean value of each attribute.
tree_depth.mean,0.005,89.000,Model-based,PyMFE,Depth of every node in the DT model.
elite_nn.mean.relative,0.005,90.000,Landmarking,PyMFE,Performance of Elite Nearest Neighbor.
F4_partial.1,0.004,91.000,Concept & complexity,ImbCoL,Collective feature efficiency (Class 1).
roy_root,0.004,92.000,"Simple, stats & info-theory",PyMFE,Roy’s largest root.
conceptvar.mean,0.004,93.000,Concept & complexity,PyMFE,Concept variation that estimates the variability of class labels among examples.
g_mean.mean,0.004,94.000,"Simple, stats & info-theory",PyMFE,Geometric mean of each attribute.
one_nn.mean.relative,0.004,95.000,Landmarking,PyMFE,Performance of the 1-Nearest Neighbor classifier.
worst_node.mean,0.004,96.000,Landmarking,PyMFE,Performance of the single decision tree node model induced by the worst informative attribute.
l3.mean,0.004,97.000,Concept & complexity,PyMFE,Non-Linearity of a linear classifier.
nr_outliers,0.004,98.000,"Simple, stats & info-theory",PyMFE,Number of attributes with at least one outlier value.
F3_partial.1,0.004,99.000,Concept & complexity,ImbCoL,Maximum individual feature efficiency (Class 1).
f4.mean,0.004,100.000,Concept & complexity,PyMFE,Collective feature efficiency.
naive_bayes.mean.relative,0.004,101.000,Landmarking,PyMFE,Performance of the Naive Bayes classifier.
nodes_per_inst,0.004,102.000,Model-based,PyMFE,Ratio of non-leaf nodes per number of instances in DT model.
leaves_homo.mean,0.004,103.000,Model-based,PyMFE,DT model Homogeneity for every leaf node.
L3_partial.0,0.004,104.000,Concept & complexity,ImbCoL,Nonlinearity of a linear classifier (Class 0).
L1_partial.1,0.004,105.000,Concept & complexity,ImbCoL,Distance of erroneous instances to a linear classifier (Class 1).
inst_to_attr,0.004,106.000,"Simple, stats & info-theory",PyMFE,Ratio between the number of instances and attributes.
nodes_per_attr,0.003,107.000,Model-based,PyMFE,Ratio of nodes per number of attributes in DT model.
t2,0.003,108.000,Concept & complexity,PyMFE,Average number of features per dimension.
L2_partial.1,0.003,109.000,Concept & complexity,ImbCoL,Training error of a linear classifier (Class 1).
linear_discr.mean,0.003,110.000,Landmarking,PyMFE,Performance of the Linear Discriminant classifier.
attr_to_inst,0.003,111.000,"Simple, stats & info-theory",PyMFE,Ratio between the number of attributes and instances.
c1,0.003,112.000,Concept & complexity,PyMFE,Entropy of class proportions.
class_ent,0.003,113.000,"Simple, stats & info-theory",PyMFE,Compute target attribute Shannon’s entropy.
L3_partial.1,0.003,114.000,Concept & complexity,ImbCoL,Nonlinearity of a linear classifier (Class 1).
leaves_corrob.mean,0.003,115.000,Model-based,PyMFE,Leaves corroboration of the DT model.
nre,0.002,116.000,Clustering,PyMFE,Normalized relative entropy.
l2.mean,0.002,117.000,Concept & complexity,PyMFE,OVO subsets error rate of linear classifier.
leaves,0.002,118.000,Model-based,PyMFE,Number of leaf nodes in the DT model.
nodes,0.002,119.000,Model-based,PyMFE,Number of non-leaf nodes in DT model.
two_itemset.mean,0.001,120.000,"Simple, stats & info-theory",PyMFE,Two itemset meta-feature.
one_itemset.mean,0.001,121.000,"Simple, stats & info-theory",PyMFE,One itemset meta-feature.
t4,0.001,122.000,Concept & complexity,PyMFE,Ratio of the PCA dimension to the original dimension.
var_importance.mean,0.000,123.000,Model-based,PyMFE,Features importance of the DT model for each attribute.
nr_attr,0.000,124.000,"Simple, stats & info-theory",PyMFE,Total number of attributes.
sc,0.000,125.000,Clustering,PyMFE,Number of clusters with size smaller than a given size.
nr_num,0.000,126.000,"Simple, stats & info-theory",PyMFE,Number of numeric features.
leaves_per_class.mean,0.000,130.000,Model-based,PyMFE,Proportion of leaves per class in DT model.
nr_cat,0.000,130.000,"Simple, stats & info-theory",PyMFE,Number of categorical attributes.
nr_disc,0.000,130.000,"Simple, stats & info-theory",PyMFE,Number of canonical correlation between each attribute and class.
nr_class,0.000,130.000,"Simple, stats & info-theory",PyMFE,Number of distinct classes.
freq_class.mean,0.000,130.000,"Simple, stats & info-theory",PyMFE,Relative frequency of each distinct class.
nr_bin,0.000,130.000,"Simple, stats & info-theory",PyMFE,Number of binary attributes.
cat_to_num,0.000,130.000,"Simple, stats & info-theory",PyMFE,Ratio between the number of categoric and numeric features.
