Meta-feature,Importance,Ranking,Type,Origin,Description
one_nn.mean,0.008,55.000,Landmarking,PyMFE,Performance of the 1-Nearest Neighbor classifier.
mut_inf.mean,0.008,56.000,"Simple, stats & info-theory",PyMFE,Mutual information between each attribute and target.
tree_shape.mean,0.008,57.000,Model-based,PyMFE,Tree shape for every leaf node.
sd.mean,0.008,58.000,"Simple, stats & info-theory",PyMFE,Standard deviation of each attribute.
tree_imbalance.mean,0.008,59.000,Model-based,PyMFE,Tree imbalance for each leaf node.
F2_partial.1,0.008,60.000,Concept & complexity,ImbCoL,Overlapping of the per-class bounding boxes (Class 1).
n3.mean,0.008,61.000,Concept & complexity,PyMFE,Error rate of the nearest neighbor classifier.
vdb,0.008,62.000,Clustering,PyMFE,Davies and Bouldin Index.
nodes_per_inst,0.008,63.000,Model-based,PyMFE,Ratio of non-leaf nodes per number of instances in DT model.
gravity,0.007,64.000,"Simple, stats & info-theory",PyMFE,Distance between minority and majority classes center of mass.
ns_ratio,0.007,65.000,"Simple, stats & info-theory",PyMFE,Noisiness of attributes.
eq_num_attr,0.007,66.000,"Simple, stats & info-theory",PyMFE,Number of attributes equivalent for a predictive task.
h_mean.mean,0.007,67.000,"Simple, stats & info-theory",PyMFE,Harmonic mean of each attribute.
leaves_homo.mean,0.007,68.000,Model-based,PyMFE,DT model Homogeneity for every leaf node.
n1,0.007,69.000,Concept & complexity,PyMFE,Fraction of borderline points.
int,0.007,70.000,Clustering,PyMFE,INT index.
T1_partial.1,0.007,71.000,Concept & complexity,ImbCoL,Fraction of maximum covering spheres on data (Class 1).
cov.mean,0.007,72.000,"Simple, stats & info-theory",PyMFE,Absolute value of the covariance of distinct dataset attribute pairs.
l1.mean,0.007,73.000,Concept & complexity,PyMFE,Sum of error distance by linear programming.
f4.mean,0.007,74.000,Concept & complexity,PyMFE,Collective feature efficiency.
l2.mean,0.007,75.000,Concept & complexity,PyMFE,OVO subsets error rate of linear classifier.
density,0.007,76.000,Concept & complexity,PyMFE,Average density of the network.
linear_discr.mean.relative,0.007,77.000,Landmarking,PyMFE,Performance of the Linear Discriminant classifier.
n4.mean,0.007,78.000,Concept & complexity,PyMFE,Non-linearity of the k-NN Classifier.
l3.mean,0.006,79.000,Concept & complexity,PyMFE,Non-Linearity of a linear classifier.
N3_partial.1,0.006,80.000,Concept & complexity,ImbCoL,Leave-one-out error rate of the 1-nearest neighbor algorithm (Class 1).
worst_node.mean.relative,0.006,81.000,Landmarking,PyMFE,Performance of the single decision tree node model induced by the worst informative attribute.
elite_nn.mean.relative,0.006,82.000,Landmarking,PyMFE,Performance of Elite Nearest Neighbor.
F4_partial.0,0.006,83.000,Concept & complexity,ImbCoL,Collective feature efficiency (Class 0).
F3_partial.0,0.006,84.000,Concept & complexity,ImbCoL,Maximum individual feature efficiency (Class 0).
L1_partial.0,0.006,85.000,Concept & complexity,ImbCoL,Distance of erroneous instances to a linear classifier (Class 0).
sil,0.006,86.000,Clustering,PyMFE,Mean silhouette value.
leaves_branch.mean,0.006,87.000,Model-based,PyMFE,Size of branches in the DT model.
vdu,0.006,88.000,Clustering,PyMFE,Dunn Index.
linear_discr.mean,0.006,89.000,Landmarking,PyMFE,Performance of the Linear Discriminant classifier.
lsc,0.006,90.000,Concept & complexity,PyMFE,Local set average cardinality.
joint_ent.mean,0.005,91.000,"Simple, stats & info-theory",PyMFE,Joint entropy between each attribute and class.
one_nn.mean.relative,0.005,92.000,Landmarking,PyMFE,Performance of the 1-Nearest Neighbor classifier.
tree_depth.mean,0.005,93.000,Model-based,PyMFE,Depth of every node in the DT model.
random_node.mean.relative,0.005,94.000,Landmarking,PyMFE,Performance of the single decision tree node model induced by a random attribute.
t3,0.005,95.000,Concept & complexity,PyMFE,Average number of PCA dimensions per points.
leaves_corrob.mean,0.005,96.000,Model-based,PyMFE,Leaves corroboration of the DT model.
nodes_per_attr,0.005,97.000,Model-based,PyMFE,Ratio of nodes per number of attributes in DT model.
nr_outliers,0.005,98.000,"Simple, stats & info-theory",PyMFE,Number of attributes with at least one outlier value.
w_lambda,0.005,99.000,"Simple, stats & info-theory",PyMFE,Wilks’ Lambda value.
L2_partial.0,0.005,100.000,Concept & complexity,ImbCoL,Training error of a linear classifier (Class 0).
random_node.mean,0.004,101.000,Landmarking,PyMFE,Performance of the single decision tree node model induced by a random attribute.
impconceptvar.mean,0.004,102.000,Concept & complexity,PyMFE,Improved concept variation that estimates the variability of class labels among examples.
nr_norm,0.004,103.000,"Simple, stats & info-theory",PyMFE,Number of attributes normally distributed based in a given method.
inst_to_attr,0.004,104.000,"Simple, stats & info-theory",PyMFE,Ratio between the number of instances and attributes.
L3_partial.0,0.004,105.000,Concept & complexity,ImbCoL,Nonlinearity of a linear classifier (Class 0).
attr_to_inst,0.004,106.000,"Simple, stats & info-theory",PyMFE,Ratio between the number of attributes and instances.
t2,0.003,107.000,Concept & complexity,PyMFE,Average number of features per dimension.
conceptvar.mean,0.003,108.000,Concept & complexity,PyMFE,Concept variation that estimates the variability of class labels among examples.
c2,0.003,109.000,Concept & complexity,PyMFE,Imbalance ratio.
nr_cor_attr,0.003,110.000,"Simple, stats & info-theory",PyMFE,Number of distinct highly correlated pair of attributes.
p_trace,0.003,111.000,"Simple, stats & info-theory",PyMFE,Pillai’s trace.
leaves,0.003,112.000,Model-based,PyMFE,Number of leaf nodes in the DT model.
can_cor.mean,0.003,113.000,"Simple, stats & info-theory",PyMFE,Compute canonical correlations of data.
lh_trace,0.003,114.000,"Simple, stats & info-theory",PyMFE,Lawley-Hotelling trace.
roy_root,0.003,115.000,"Simple, stats & info-theory",PyMFE,Roy’s largest root.
nodes,0.003,116.000,Model-based,PyMFE,Number of non-leaf nodes in DT model.
c1,0.003,117.000,Concept & complexity,PyMFE,Entropy of class proportions.
nre,0.002,118.000,Clustering,PyMFE,Normalized relative entropy.
class_ent,0.002,119.000,"Simple, stats & info-theory",PyMFE,Compute target attribute Shannon’s entropy.
one_itemset.mean,0.001,120.000,"Simple, stats & info-theory",PyMFE,One itemset meta-feature.
two_itemset.mean,0.001,121.000,"Simple, stats & info-theory",PyMFE,Two itemset meta-feature.
t4,0.001,122.000,Concept & complexity,PyMFE,Ratio of the PCA dimension to the original dimension.
sc,0.000,123.000,Clustering,PyMFE,Number of clusters with size smaller than a given size.
nr_attr,0.000,124.000,"Simple, stats & info-theory",PyMFE,Total number of attributes.
var_importance.mean,0.000,125.000,Model-based,PyMFE,Features importance of the DT model for each attribute.
nr_num,0.000,126.000,"Simple, stats & info-theory",PyMFE,Number of numeric features.
freq_class.mean,0.000,130.000,"Simple, stats & info-theory",PyMFE,Relative frequency of each distinct class.
nr_class,0.000,130.000,"Simple, stats & info-theory",PyMFE,Number of distinct classes.
cat_to_num,0.000,130.000,"Simple, stats & info-theory",PyMFE,Ratio between the number of categoric and numeric features.
nr_disc,0.000,130.000,"Simple, stats & info-theory",PyMFE,Number of canonical correlation between each attribute and class.
nr_cat,0.000,130.000,"Simple, stats & info-theory",PyMFE,Number of categorical attributes.
leaves_per_class.mean,0.000,130.000,Model-based,PyMFE,Proportion of leaves per class in DT model.
nr_bin,0.000,130.000,"Simple, stats & info-theory",PyMFE,Number of binary attributes.
