Meta-feature,Importance,Ranking,Type,Origin,Description
f3.mean,0.008,54.000,Concept & complexity,PyMFE,Compute feature maximum individual efficiency.
mad.mean,0.008,55.000,"Simple, stats & info-theory",PyMFE,Median Absolute Deviation (MAD) adjusted by a factor.
sil,0.008,56.000,Clustering,PyMFE,Mean silhouette value.
nodes_repeated.mean,0.007,57.000,Model-based,PyMFE,Number of repeated nodes in DT model.
eq_num_attr,0.007,58.000,"Simple, stats & info-theory",PyMFE,Number of attributes equivalent for a predictive task.
hubs.mean,0.007,59.000,Concept & complexity,PyMFE,Hub score.
n4.mean,0.007,60.000,Concept & complexity,PyMFE,Non-linearity of the k-NN Classifier.
range.mean,0.007,61.000,"Simple, stats & info-theory",PyMFE,Range (max - min) of each attribute.
vdu,0.007,62.000,Clustering,PyMFE,Dunn Index.
nr_inst,0.007,63.000,"Simple, stats & info-theory",PyMFE,Number of instances (rows) in the dataset.
T1_partial.0,0.007,64.000,Concept & complexity,ImbCoL,Fraction of maximum covering spheres on data (Class 0).
random_node.mean,0.007,65.000,Landmarking,PyMFE,Performance of the single decision tree node model induced by a random attribute.
n3.mean,0.007,66.000,Concept & complexity,PyMFE,Error rate of the nearest neighbor classifier.
nr_outliers,0.007,67.000,"Simple, stats & info-theory",PyMFE,Number of attributes with at least one outlier value.
density,0.007,68.000,Concept & complexity,PyMFE,Average density of the network.
f2.mean,0.006,69.000,Concept & complexity,PyMFE,Volume of the overlapping region.
nodes_per_inst,0.006,70.000,Model-based,PyMFE,Ratio of non-leaf nodes per number of instances in DT model.
gravity,0.006,71.000,"Simple, stats & info-theory",PyMFE,Distance between minority and majority classes center of mass.
t3,0.006,72.000,Concept & complexity,PyMFE,Average number of PCA dimensions per points.
impconceptvar.mean,0.006,73.000,Concept & complexity,PyMFE,Improved concept variation that estimates the variability of class labels among examples.
random_node.mean.relative,0.006,74.000,Landmarking,PyMFE,Performance of the single decision tree node model induced by a random attribute.
L2_partial.0,0.006,75.000,Concept & complexity,ImbCoL,Training error of a linear classifier (Class 0).
ns_ratio,0.006,76.000,"Simple, stats & info-theory",PyMFE,Noisiness of attributes.
cls_coef,0.006,77.000,Concept & complexity,PyMFE,Clustering coefficient.
linear_discr.mean.relative,0.006,78.000,Landmarking,PyMFE,Performance of the Linear Discriminant classifier.
worst_node.mean,0.006,79.000,Landmarking,PyMFE,Performance of the single decision tree node model induced by the worst informative attribute.
l3.mean,0.006,80.000,Concept & complexity,PyMFE,Non-Linearity of a linear classifier.
f4.mean,0.006,81.000,Concept & complexity,PyMFE,Collective feature efficiency.
elite_nn.mean.relative,0.006,82.000,Landmarking,PyMFE,Performance of Elite Nearest Neighbor.
T1_partial.1,0.006,83.000,Concept & complexity,ImbCoL,Fraction of maximum covering spheres on data (Class 1).
iq_range.mean,0.006,84.000,"Simple, stats & info-theory",PyMFE,Interquartile range (IQR) of each attribute.
joint_ent.mean,0.006,85.000,"Simple, stats & info-theory",PyMFE,Joint entropy between each attribute and class.
F4_partial.1,0.006,86.000,Concept & complexity,ImbCoL,Collective feature efficiency (Class 1).
p_trace,0.006,87.000,"Simple, stats & info-theory",PyMFE,Pillai’s trace.
can_cor.mean,0.005,88.000,"Simple, stats & info-theory",PyMFE,Compute canonical correlations of data.
nr_cor_attr,0.005,89.000,"Simple, stats & info-theory",PyMFE,Number of distinct highly correlated pair of attributes.
L3_partial.0,0.005,90.000,Concept & complexity,ImbCoL,Nonlinearity of a linear classifier (Class 0).
lsc,0.005,91.000,Concept & complexity,PyMFE,Local set average cardinality.
F3_partial.0,0.005,92.000,Concept & complexity,ImbCoL,Maximum individual feature efficiency (Class 0).
F3_partial.1,0.005,93.000,Concept & complexity,ImbCoL,Maximum individual feature efficiency (Class 1).
eigenvalues.mean,0.005,94.000,"Simple, stats & info-theory",PyMFE,Eigenvalues of covariance matrix from dataset.
F4_partial.0,0.005,95.000,Concept & complexity,ImbCoL,Collective feature efficiency (Class 0).
var.mean,0.005,96.000,"Simple, stats & info-theory",PyMFE,Variance of each attribute.
tree_depth.mean,0.005,97.000,Model-based,PyMFE,Depth of every node in the DT model.
n1,0.005,98.000,Concept & complexity,PyMFE,Fraction of borderline points.
leaves_branch.mean,0.005,99.000,Model-based,PyMFE,Size of branches in the DT model.
lh_trace,0.005,100.000,"Simple, stats & info-theory",PyMFE,Lawley-Hotelling trace.
leaves_corrob.mean,0.005,101.000,Model-based,PyMFE,Leaves corroboration of the DT model.
l1.mean,0.004,102.000,Concept & complexity,PyMFE,Sum of error distance by linear programming.
c2,0.004,103.000,Concept & complexity,PyMFE,Imbalance ratio.
linear_discr.mean,0.004,104.000,Landmarking,PyMFE,Performance of the Linear Discriminant classifier.
nodes_per_attr,0.004,105.000,Model-based,PyMFE,Ratio of nodes per number of attributes in DT model.
inst_to_attr,0.004,106.000,"Simple, stats & info-theory",PyMFE,Ratio between the number of instances and attributes.
roy_root,0.004,107.000,"Simple, stats & info-theory",PyMFE,Roy’s largest root.
leaves_homo.mean,0.004,108.000,Model-based,PyMFE,DT model Homogeneity for every leaf node.
worst_node.mean.relative,0.004,109.000,Landmarking,PyMFE,Performance of the single decision tree node model induced by the worst informative attribute.
l2.mean,0.004,110.000,Concept & complexity,PyMFE,OVO subsets error rate of linear classifier.
attr_to_inst,0.004,111.000,"Simple, stats & info-theory",PyMFE,Ratio between the number of attributes and instances.
t2,0.004,112.000,Concept & complexity,PyMFE,Average number of features per dimension.
nr_norm,0.004,113.000,"Simple, stats & info-theory",PyMFE,Number of attributes normally distributed based in a given method.
conceptvar.mean,0.003,114.000,Concept & complexity,PyMFE,Concept variation that estimates the variability of class labels among examples.
leaves,0.003,115.000,Model-based,PyMFE,Number of leaf nodes in the DT model.
nre,0.003,116.000,Clustering,PyMFE,Normalized relative entropy.
nodes,0.003,117.000,Model-based,PyMFE,Number of non-leaf nodes in DT model.
class_ent,0.003,118.000,"Simple, stats & info-theory",PyMFE,Compute target attribute Shannon’s entropy.
c1,0.003,119.000,Concept & complexity,PyMFE,Entropy of class proportions.
one_itemset.mean,0.001,120.000,"Simple, stats & info-theory",PyMFE,One itemset meta-feature.
two_itemset.mean,0.001,121.000,"Simple, stats & info-theory",PyMFE,Two itemset meta-feature.
t4,0.001,122.000,Concept & complexity,PyMFE,Ratio of the PCA dimension to the original dimension.
sc,0.000,123.000,Clustering,PyMFE,Number of clusters with size smaller than a given size.
var_importance.mean,0.000,124.000,Model-based,PyMFE,Features importance of the DT model for each attribute.
nr_attr,0.000,125.000,"Simple, stats & info-theory",PyMFE,Total number of attributes.
nr_num,0.000,126.000,"Simple, stats & info-theory",PyMFE,Number of numeric features.
leaves_per_class.mean,0.000,130.000,Model-based,PyMFE,Proportion of leaves per class in DT model.
cat_to_num,0.000,130.000,"Simple, stats & info-theory",PyMFE,Ratio between the number of categoric and numeric features.
nr_cat,0.000,130.000,"Simple, stats & info-theory",PyMFE,Number of categorical attributes.
nr_disc,0.000,130.000,"Simple, stats & info-theory",PyMFE,Number of canonical correlation between each attribute and class.
freq_class.mean,0.000,130.000,"Simple, stats & info-theory",PyMFE,Relative frequency of each distinct class.
nr_bin,0.000,130.000,"Simple, stats & info-theory",PyMFE,Number of binary attributes.
nr_class,0.000,130.000,"Simple, stats & info-theory",PyMFE,Number of distinct classes.
