Meta-feature,Importance,Ranking,Type,Origin,Description
gravity,0.006,81.000,"Simple, stats & info-theory",PyMFE,Distance between minority and majority classes center of mass.
n1,0.006,82.000,Concept & complexity,PyMFE,Fraction of borderline points.
iq_range.mean,0.006,83.000,"Simple, stats & info-theory",PyMFE,Interquartile range (IQR) of each attribute.
sd.mean,0.006,84.000,"Simple, stats & info-theory",PyMFE,Standard deviation of each attribute.
lsc,0.006,85.000,Concept & complexity,PyMFE,Local set average cardinality.
w_lambda,0.006,86.000,"Simple, stats & info-theory",PyMFE,Wilks’ Lambda value.
naive_bayes.mean.relative,0.006,87.000,Landmarking,PyMFE,Performance of the Naive Bayes classifier.
nodes_per_attr,0.006,88.000,Model-based,PyMFE,Ratio of nodes per number of attributes in DT model.
elite_nn.mean.relative,0.006,89.000,Landmarking,PyMFE,Performance of Elite Nearest Neighbor.
l3.mean,0.006,90.000,Concept & complexity,PyMFE,Non-Linearity of a linear classifier.
L3_partial.0,0.006,91.000,Concept & complexity,ImbCoL,Nonlinearity of a linear classifier (Class 0).
t_mean.mean,0.005,92.000,"Simple, stats & info-theory",PyMFE,Trimmed mean of each attribute.
t3,0.005,93.000,Concept & complexity,PyMFE,Average number of PCA dimensions per points.
tree_depth.mean,0.005,94.000,Model-based,PyMFE,Depth of every node in the DT model.
cls_coef,0.005,95.000,Concept & complexity,PyMFE,Clustering coefficient.
linear_discr.mean,0.005,96.000,Landmarking,PyMFE,Performance of the Linear Discriminant classifier.
conceptvar.mean,0.005,97.000,Concept & complexity,PyMFE,Concept variation that estimates the variability of class labels among examples.
leaves_corrob.mean,0.005,98.000,Model-based,PyMFE,Leaves corroboration of the DT model.
c2,0.005,99.000,Concept & complexity,PyMFE,Imbalance ratio.
var.mean,0.005,100.000,"Simple, stats & info-theory",PyMFE,Variance of each attribute.
leaves_branch.mean,0.005,101.000,Model-based,PyMFE,Size of branches in the DT model.
inst_to_attr,0.005,102.000,"Simple, stats & info-theory",PyMFE,Ratio between the number of instances and attributes.
mean.mean,0.005,103.000,"Simple, stats & info-theory",PyMFE,Mean value of each attribute.
eigenvalues.mean,0.004,104.000,"Simple, stats & info-theory",PyMFE,Eigenvalues of covariance matrix from dataset.
density,0.004,105.000,Concept & complexity,PyMFE,Average density of the network.
L3_partial.1,0.004,106.000,Concept & complexity,ImbCoL,Nonlinearity of a linear classifier (Class 1).
l2.mean,0.004,107.000,Concept & complexity,PyMFE,OVO subsets error rate of linear classifier.
t2,0.004,108.000,Concept & complexity,PyMFE,Average number of features per dimension.
attr_to_inst,0.004,109.000,"Simple, stats & info-theory",PyMFE,Ratio between the number of attributes and instances.
L2_partial.1,0.004,110.000,Concept & complexity,ImbCoL,Training error of a linear classifier (Class 1).
p_trace,0.004,111.000,"Simple, stats & info-theory",PyMFE,Pillai’s trace.
roy_root,0.003,112.000,"Simple, stats & info-theory",PyMFE,Roy’s largest root.
can_cor.mean,0.003,113.000,"Simple, stats & info-theory",PyMFE,Compute canonical correlations of data.
lh_trace,0.003,114.000,"Simple, stats & info-theory",PyMFE,Lawley-Hotelling trace.
c1,0.003,115.000,Concept & complexity,PyMFE,Entropy of class proportions.
nodes,0.003,116.000,Model-based,PyMFE,Number of non-leaf nodes in DT model.
class_ent,0.003,117.000,"Simple, stats & info-theory",PyMFE,Compute target attribute Shannon’s entropy.
nre,0.003,118.000,Clustering,PyMFE,Normalized relative entropy.
leaves,0.003,119.000,Model-based,PyMFE,Number of leaf nodes in the DT model.
one_itemset.mean,0.002,120.000,"Simple, stats & info-theory",PyMFE,One itemset meta-feature.
two_itemset.mean,0.001,121.000,"Simple, stats & info-theory",PyMFE,Two itemset meta-feature.
t4,0.001,122.000,Concept & complexity,PyMFE,Ratio of the PCA dimension to the original dimension.
sc,0.000,123.000,Clustering,PyMFE,Number of clusters with size smaller than a given size.
nr_num,0.000,124.000,"Simple, stats & info-theory",PyMFE,Number of numeric features.
var_importance.mean,0.000,125.000,Model-based,PyMFE,Features importance of the DT model for each attribute.
nr_attr,0.000,126.000,"Simple, stats & info-theory",PyMFE,Total number of attributes.
freq_class.mean,0.000,130.000,"Simple, stats & info-theory",PyMFE,Relative frequency of each distinct class.
nr_class,0.000,130.000,"Simple, stats & info-theory",PyMFE,Number of distinct classes.
nr_disc,0.000,130.000,"Simple, stats & info-theory",PyMFE,Number of canonical correlation between each attribute and class.
cat_to_num,0.000,130.000,"Simple, stats & info-theory",PyMFE,Ratio between the number of categoric and numeric features.
nr_cat,0.000,130.000,"Simple, stats & info-theory",PyMFE,Number of categorical attributes.
leaves_per_class.mean,0.000,130.000,Model-based,PyMFE,Proportion of leaves per class in DT model.
nr_bin,0.000,130.000,"Simple, stats & info-theory",PyMFE,Number of binary attributes.
