#,Meta-feature,Type,Subtype,Origin,Description
51,mut_inf.mean,"Simple, stats & info-theory",info-theory,PyMFE,Mutual information between each attribute and target.
52,ns_ratio,"Simple, stats & info-theory",info-theory,PyMFE,Noisiness of attributes.
53,one_itemset.mean,"Simple, stats & info-theory",itemset,PyMFE,One itemset meta-feature.
54,two_itemset.mean,"Simple, stats & info-theory",itemset,PyMFE,Two itemset meta-feature.
55,best_node.mean,Landmarking,landmarking,PyMFE,Performance of a the best single decision tree node.
56,best_node.mean.relative,Landmarking,landmarking,PyMFE,Performance of a the best single decision tree node.
57,elite_nn.mean,Landmarking,landmarking,PyMFE,Performance of Elite Nearest Neighbor.
58,elite_nn.mean.relative,Landmarking,landmarking,PyMFE,Performance of Elite Nearest Neighbor.
59,linear_discr.mean,Landmarking,landmarking,PyMFE,Performance of the Linear Discriminant classifier.
60,linear_discr.mean.relative,Landmarking,landmarking,PyMFE,Performance of the Linear Discriminant classifier.
61,naive_bayes.mean,Landmarking,landmarking,PyMFE,Performance of the Naive Bayes classifier.
62,naive_bayes.mean.relative,Landmarking,landmarking,PyMFE,Performance of the Naive Bayes classifier.
63,one_nn.mean,Landmarking,landmarking,PyMFE,Performance of the 1-Nearest Neighbor classifier.
64,one_nn.mean.relative,Landmarking,landmarking,PyMFE,Performance of the 1-Nearest Neighbor classifier.
65,random_node.mean,Landmarking,landmarking,PyMFE,Performance of the single decision tree node model induced by a random attribute.
66,random_node.mean.relative,Landmarking,landmarking,PyMFE,Performance of the single decision tree node model induced by a random attribute.
67,worst_node.mean,Landmarking,landmarking,PyMFE,Performance of the single decision tree node model induced by the worst informative attribute.
68,leaves,Model-based,model-based,PyMFE,Number of leaf nodes in the DT model.
69,leaves_branch.mean,Model-based,model-based,PyMFE,Size of branches in the DT model.
70,leaves_corrob.mean,Model-based,model-based,PyMFE,Leaves corroboration of the DT model.
71,leaves_homo.mean,Model-based,model-based,PyMFE,DT model Homogeneity for every leaf node.
72,leaves_per_class.mean,Model-based,model-based,PyMFE,Proportion of leaves per class in DT model.
73,nodes,Model-based,model-based,PyMFE,Number of non-leaf nodes in DT model.
74,nodes_per_attr,Model-based,model-based,PyMFE,Ratio of nodes per number of attributes in DT model.
75,nodes_per_inst,Model-based,model-based,PyMFE,Ratio of non-leaf nodes per number of instances in DT model.
76,nodes_per_level.mean,Model-based,model-based,PyMFE,Ratio of number of nodes per tree level in DT model.
77,nodes_repeated.mean,Model-based,model-based,PyMFE,Number of repeated nodes in DT model.
78,tree_depth.mean,Model-based,model-based,PyMFE,Depth of every node in the DT model.
79,tree_imbalance.mean,Model-based,model-based,PyMFE,Tree imbalance for each leaf node.
80,tree_shape.mean,Model-based,model-based,PyMFE,Tree shape for every leaf node.
81,var_importance.mean,Model-based,model-based,PyMFE,Features importance of the DT model for each attribute.
82,can_cor.mean,"Simple, stats & info-theory",statistical,PyMFE,Compute canonical correlations of data.
83,cor.mean,"Simple, stats & info-theory",statistical,PyMFE,Absolute value of the correlation of distinct dataset column pairs.
84,cov.mean,"Simple, stats & info-theory",statistical,PyMFE,Absolute value of the covariance of distinct dataset attribute pairs.
85,eigenvalues.mean,"Simple, stats & info-theory",statistical,PyMFE,Eigenvalues of covariance matrix from dataset.
86,g_mean.mean,"Simple, stats & info-theory",statistical,PyMFE,Geometric mean of each attribute.
87,gravity,"Simple, stats & info-theory",statistical,PyMFE,Distance between minority and majority classes center of mass.
88,h_mean.mean,"Simple, stats & info-theory",statistical,PyMFE,Harmonic mean of each attribute.
89,iq_range.mean,"Simple, stats & info-theory",statistical,PyMFE,Interquartile range (IQR) of each attribute.
90,kurtosis.mean,"Simple, stats & info-theory",statistical,PyMFE,Kurtosis of each attribute.
91,lh_trace,"Simple, stats & info-theory",statistical,PyMFE,Lawley-Hotelling trace.
92,mad.mean,"Simple, stats & info-theory",statistical,PyMFE,Median Absolute Deviation (MAD) adjusted by a factor.
93,max.mean,"Simple, stats & info-theory",statistical,PyMFE,Maximum value from each attribute.
94,mean.mean,"Simple, stats & info-theory",statistical,PyMFE,Mean value of each attribute.
95,median.mean,"Simple, stats & info-theory",statistical,PyMFE,Median value from each attribute.
96,min.mean,"Simple, stats & info-theory",statistical,PyMFE,Minimum value from each attribute.
97,nr_cor_attr,"Simple, stats & info-theory",statistical,PyMFE,Number of distinct highly correlated pair of attributes.
98,nr_disc,"Simple, stats & info-theory",statistical,PyMFE,Number of canonical correlation between each attribute and class.
99,nr_norm,"Simple, stats & info-theory",statistical,PyMFE,Number of attributes normally distributed based in a given method.
100,nr_outliers,"Simple, stats & info-theory",statistical,PyMFE,Number of attributes with at least one outlier value.
101,p_trace,"Simple, stats & info-theory",statistical,PyMFE,Pillai’s trace.
102,range.mean,"Simple, stats & info-theory",statistical,PyMFE,Range (max - min) of each attribute.
103,roy_root,"Simple, stats & info-theory",statistical,PyMFE,Roy’s largest root.
104,sd.mean,"Simple, stats & info-theory",statistical,PyMFE,Standard deviation of each attribute.
105,sd_ratio,"Simple, stats & info-theory",statistical,PyMFE,Statistical test for homogeneity of covariances.
106,skewness.mean,"Simple, stats & info-theory",statistical,PyMFE,Skewness for each attribute.
107,sparsity.mean,"Simple, stats & info-theory",statistical,PyMFE,(Possibly normalized) sparsity metric for each attribute.
108,t_mean.mean,"Simple, stats & info-theory",statistical,PyMFE,Trimmed mean of each attribute.
109,var.mean,"Simple, stats & info-theory",statistical,PyMFE,Variance of each attribute.
110,w_lambda,"Simple, stats & info-theory",statistical,PyMFE,Wilks’ Lambda value.
111,worst_node.mean.relative,Landmarking,landmarking,PyMFE,Performance of the single decision tree node model induced by the worst informative attribute.
112,F2_partial.0,Concept & complexity,overlapping,ImbCoL,Overlapping of the per-class bounding boxes (Class 0).
113,F2_partial.1,Concept & complexity,overlapping,ImbCoL,Overlapping of the per-class bounding boxes (Class 1).
114,F3_partial.0,Concept & complexity,overlapping,ImbCoL,Maximum individual feature efficiency (Class 0).
115,F3_partial.1,Concept & complexity,overlapping,ImbCoL,Maximum individual feature efficiency (Class 1).
116,F4_partial.0,Concept & complexity,overlapping,ImbCoL,Collective feature efficiency (Class 0).
117,F4_partial.1,Concept & complexity,overlapping,ImbCoL,Collective feature efficiency (Class 1).
118,N1_partial.0,Concept & complexity,neighborhood,ImbCoL,Fraction of points lying on the class boundary (Class 0).
119,N1_partial.1,Concept & complexity,neighborhood,ImbCoL,Fraction of points lying on the class boundary (Class 1).
120,N2_partial.0,Concept & complexity,neighborhood,ImbCoL,Average intra/inter class nearest neighbor distances (Class 0).
121,N2_partial.1,Concept & complexity,neighborhood,ImbCoL,Average intra/inter class nearest neighbor distances (Class 1).
122,N3_partial.0,Concept & complexity,neighborhood,ImbCoL,Leave-one-out error rate of the 1-nearest neighbor algorithm (Class 0).
123,N3_partial.1,Concept & complexity,neighborhood,ImbCoL,Leave-one-out error rate of the 1-nearest neighbor algorithm (Class 1).
124,N4_partial.0,Concept & complexity,neighborhood,ImbCoL,Nonlinearity of the one-nearest neighbor classifier (Class 0).
125,N4_partial.1,Concept & complexity,neighborhood,ImbCoL,Nonlinearity of the one-nearest neighbor classifier (Class 1).
126,T1_partial.0,Concept & complexity,neighborhood,ImbCoL,Fraction of maximum covering spheres on data (Class 0).
127,T1_partial.1,Concept & complexity,neighborhood,ImbCoL,Fraction of maximum covering spheres on data (Class 1).
128,L1_partial.0,Concept & complexity,linearity,ImbCoL,Distance of erroneous instances to a linear classifier (Class 0).
129,L1_partial.1,Concept & complexity,linearity,ImbCoL,Distance of erroneous instances to a linear classifier (Class 1).
130,L2_partial.0,Concept & complexity,linearity,ImbCoL,Training error of a linear classifier (Class 0).
131,L2_partial.1,Concept & complexity,linearity,ImbCoL,Training error of a linear classifier (Class 1).
132,L3_partial.0,Concept & complexity,linearity,ImbCoL,Nonlinearity of a linear classifier (Class 0).
133,L3_partial.1,Concept & complexity,linearity,ImbCoL,Nonlinearity of a linear classifier (Class 1).
