Meta-feature,Importance,Ranking,Type,Origin,Description
leaves_corrob.mean,0.0035723986304,107.0,model-based,PyMFE,Leaves corroboration of the DT model.
l2.mean,0.003354547731734,108.0,complexity,PyMFE,OVO subsets error rate of linear classifier.
can_cor.mean,0.0033478209746465,109.0,statistical,PyMFE,Compute canonical correlations of data.
roy_root,0.0032589263001841,110.0,statistical,PyMFE,Roy’s largest root.
lh_trace,0.0032308459973894,111.0,statistical,PyMFE,Lawley-Hotelling trace.
t2,0.0031294007303791,112.0,complexity,PyMFE,Average number of features per dimension.
p_trace,0.0031268281403121,113.0,statistical,PyMFE,Pillai’s trace.
attr_to_inst,0.0030964130709761,114.0,general,PyMFE,Ratio between the number of attributes and instances.
nre,0.0030231854679558,115.0,clustering,PyMFE,Normalized relative entropy.
c1,0.0029935786092267,116.0,complexity,PyMFE,Entropy of class proportions.
class_ent,0.0028304088861795,117.0,info-theory,PyMFE,Compute target attribute Shannon’s entropy.
nodes,0.0024459478533029,118.0,model-based,PyMFE,Number of non-leaf nodes in DT model.
leaves,0.0023704641229906,119.0,model-based,PyMFE,Number of leaf nodes in the DT model.
one_itemset.mean,0.0014865899996143,120.0,itemset,PyMFE,One itemset meta-feature.
two_itemset.mean,0.0013372256227094,121.0,itemset,PyMFE,Two itemset meta-feature.
t4,0.0009791037010966,122.0,complexity,PyMFE,Ratio of the PCA dimension to the original dimension.
sc,0.0002576931261238,123.0,clustering,PyMFE,Number of clusters with size smaller than a given size.
var_importance.mean,0.0002024968526156,124.0,model-based,PyMFE,Features importance of the DT model for each attribute.
nr_attr,0.0001881196627443,125.0,general,PyMFE,Total number of attributes.
nr_num,0.0001488619859971,126.0,general,PyMFE,Number of numeric features.
leaves_per_class.mean,0.0,130.0,model-based,PyMFE,Proportion of leaves per class in DT model.
freq_class.mean,0.0,130.0,general,PyMFE,Relative frequency of each distinct class.
nr_disc,0.0,130.0,statistical,PyMFE,Number of canonical correlation between each attribute and class.
nr_class,0.0,130.0,general,PyMFE,Number of distinct classes.
nr_cat,0.0,130.0,general,PyMFE,Number of categorical attributes.
nr_bin,0.0,130.0,general,PyMFE,Number of binary attributes.
cat_to_num,0.0,130.0,general,PyMFE,Ratio between the number of categoric and numeric features.
